origin_id|target_id|minutes_to_activate
RT|RT|1
RT|VB|12
RT|AD|6
RT|RE|4
RT|RL|3
RT|OK|12
RT|RV|8
RT|TE|8
RT|WW|10
RT|HB|10
RT|IY|5
RT|QF|8
RT|YZ|9
RT|QB|5
RT|SO|12
RT|EB|5
RT|VL|6
RT|BF|11
RT|UC|4
RT|OQ|4
RT|YV|5
RT|KJ|9
RT|QH|11
RT|KW|5
RT|PL|9
RT|DQ|4
RT|AA|3
RT|XT|5
RT|SZ|13
RT|IU|8
RT|OM|9
RT|YX|6
RT|SX|12
RT|KD|7
RT|SP|6
RT|UY|5
RT|XF|7
RT|SC|3
RT|UK|4
RT|LW|6
RT|FL|3
RT|VI|4
RT|HW|8
RT|YI|4
RT|HE|9
RT|JG|8
RT|BN|4
RT|IF|5
RT|JF|7
RT|SI|7
RT|WF|3
RT|HQ|7
RT|LZ|2
RT|UH|6
RT|CY|9
RT|NH|6
RT|TT|5
RT|OH|10
RT|EN|2
RT|NY|8
RT|ZB|13
VB|RT|12
VB|VB|1
VB|AD|9
VB|RE|12
VB|RL|12
VB|OK|3
VB|RV|9
VB|TE|12
VB|WW|5
VB|HB|16
VB|IY|13
VB|QF|7
VB|YZ|6
VB|QB|13
VB|SO|3
VB|EB|10
VB|VL|9
VB|BF|2
VB|UC|9
VB|OQ|12
VB|YV|8
VB|KJ|4
VB|QH|4
VB|KW|13
VB|PL|6
VB|DQ|11
VB|AA|11
VB|XT|13
VB|SZ|2
VB|IU|10
VB|OM|15
VB|YX|7
VB|SX|3
VB|KD|14
VB|SP|14
VB|UY|13
VB|XF|13
VB|SC|10
VB|UK|12
VB|LW|14
VB|FL|12
VB|VI|11
VB|HW|9
VB|YI|10
VB|HE|11
VB|JG|5
VB|BN|13
VB|IF|11
VB|JF|8
VB|SI|6
VB|WF|12
VB|HQ|11
VB|LZ|11
VB|UH|12
VB|CY|10
VB|NH|9
VB|TT|9
VB|OH|3
VB|EN|12
VB|NY|14
VB|ZB|4
AD|RT|6
AD|VB|9
AD|AD|1
AD|RE|4
AD|RL|4
AD|OK|9
AD|RV|3
AD|TE|6
AD|WW|7
AD|HB|10
AD|IY|6
AD|QF|3
AD|YZ|6
AD|QB|5
AD|SO|9
AD|EB|2
AD|VL|3
AD|BF|8
AD|UC|5
AD|OQ|5
AD|YV|4
AD|KJ|6
AD|QH|8
AD|KW|5
AD|PL|4
AD|DQ|3
AD|AA|4
AD|XT|5
AD|SZ|10
AD|IU|4
AD|OM|9
AD|YX|5
AD|SX|9
AD|KD|8
AD|SP|6
AD|UY|6
AD|XF|7
AD|SC|6
AD|UK|5
AD|LW|7
AD|FL|6
AD|VI|3
AD|HW|3
AD|YI|5
AD|HE|5
AD|JG|5
AD|BN|7
AD|IF|3
AD|JF|2
AD|SI|6
AD|WF|5
AD|HQ|5
AD|LZ|5
AD|UH|6
AD|CY|4
AD|NH|3
AD|TT|5
AD|OH|7
AD|EN|5
AD|NY|8
AD|ZB|10
RE|RT|4
RE|VB|12
RE|AD|4
RE|RE|1
RE|RL|4
RE|OK|12
RE|RV|6
RE|TE|5
RE|WW|10
RE|HB|7
RE|IY|3
RE|QF|6
RE|YZ|9
RE|QB|2
RE|SO|12
RE|EB|3
RE|VL|6
RE|BF|11
RE|UC|5
RE|OQ|3
RE|YV|5
RE|KJ|9
RE|QH|11
RE|KW|2
RE|PL|7
RE|DQ|4
RE|AA|4
RE|XT|2
RE|SZ|13
RE|IU|6
RE|OM|6
RE|YX|6
RE|SX|12
RE|KD|5
RE|SP|3
RE|UY|4
RE|XF|4
RE|SC|4
RE|UK|5
RE|LW|4
RE|FL|4
RE|VI|4
RE|HW|6
RE|YI|5
RE|HE|6
RE|JG|8
